,Proto-Indo-Iranian Root,Persian Word,Punjabi Word,Proto-Indo-Iranian URL,Persian URL,Punjabi URL
0,Proto-Indo-European,پا,ਜੀਭ,https://en.wiktionary.orghttps://en.wikipedia.org/wiki/Proto-Indo-European_language,https://en.wiktionary.org/wiki/%D9%BE%D8%A7,https://en.wiktionary.org/wiki/%E0%A8%9C%E0%A9%80%E0%A8%AD
1,Proto-Indo-European,تف,ਜੀਭ,https://en.wiktionary.orghttps://en.wikipedia.org/wiki/Proto-Indo-European_language,https://en.wiktionary.org/wiki/%D8%AA%D9%81,https://en.wiktionary.org/wiki/%E0%A8%9C%E0%A9%80%E0%A8%AD
2,*Hŕ̥ćšas,خرس,ਰਿੱਛ,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-Iranian/H%C5%95%CC%A5%C4%87%C5%A1as,https://en.wiktionary.org/wiki/%D8%AE%D8%B1%D8%B3,https://en.wiktionary.org/wiki/%E0%A8%B0%E0%A8%BF%E0%A9%B1%E0%A8%9B
3,Proto-Indo-European,خوک,ਜੀਭ,https://en.wiktionary.orghttps://en.wikipedia.org/wiki/Proto-Indo-European_language,https://en.wiktionary.org/wiki/%D8%AE%D9%88%DA%A9,https://en.wiktionary.org/wiki/%E0%A8%9C%E0%A9%80%E0%A8%AD
4,Proto-Indo-European,دود,ਜੀਭ,https://en.wiktionary.orghttps://en.wikipedia.org/wiki/Proto-Indo-European_language,https://en.wiktionary.org/wiki/%D8%AF%D9%88%D8%AF,https://en.wiktionary.org/wiki/%E0%A8%9C%E0%A9%80%E0%A8%AD
5,Proto-Indo-European,دوزخ,ਜੀਭ,https://en.wiktionary.orghttps://en.wikipedia.org/wiki/Proto-Indo-European_language,https://en.wiktionary.org/wiki/%D8%AF%D9%88%D8%B2%D8%AE,https://en.wiktionary.org/wiki/%E0%A8%9C%E0%A9%80%E0%A8%AD
6,Proto-Indo-European,زر,ਜੀਭ,https://en.wiktionary.orghttps://en.wikipedia.org/wiki/Proto-Indo-European_language,https://en.wiktionary.org/wiki/%D8%B2%D8%B1,https://en.wiktionary.org/wiki/%E0%A8%9C%E0%A9%80%E0%A8%AD
7,Proto-Indo-European,سرد,ਜੀਭ,https://en.wiktionary.orghttps://en.wikipedia.org/wiki/Proto-Indo-European_language,https://en.wiktionary.org/wiki/%D8%B3%D8%B1%D8%AF,https://en.wiktionary.org/wiki/%E0%A8%9C%E0%A9%80%E0%A8%AD
8,Proto-Indo-European,غژب,ਜੀਭ,https://en.wiktionary.orghttps://en.wikipedia.org/wiki/Proto-Indo-European_language,https://en.wiktionary.org/wiki/%D8%BA%DA%98%D8%A8,https://en.wiktionary.org/wiki/%E0%A8%9C%E0%A9%80%E0%A8%AD
9,Proto-Indo-European,مردن,ਜੀਭ,https://en.wiktionary.orghttps://en.wikipedia.org/wiki/Proto-Indo-European_language,https://en.wiktionary.org/wiki/%D9%85%D8%B1%D8%AF%D9%86,https://en.wiktionary.org/wiki/%E0%A8%9C%E0%A9%80%E0%A8%AD
10,Proto-Indo-European,موش,ਜੀਭ,https://en.wiktionary.orghttps://en.wikipedia.org/wiki/Proto-Indo-European_language,https://en.wiktionary.org/wiki/%D9%85%D9%88%D8%B4,https://en.wiktionary.org/wiki/%E0%A8%9C%E0%A9%80%E0%A8%AD
11,Proto-Indo-European,میان,ਜੀਭ,https://en.wiktionary.orghttps://en.wikipedia.org/wiki/Proto-Indo-European_language,https://en.wiktionary.org/wiki/%D9%85%DB%8C%D8%A7%D9%86,https://en.wiktionary.org/wiki/%E0%A8%9C%E0%A9%80%E0%A8%AD
12,Proto-Indo-European,هشت,ਜੀਭ,https://en.wiktionary.orghttps://en.wikipedia.org/wiki/Proto-Indo-European_language,https://en.wiktionary.org/wiki/%D9%87%D8%B4%D8%AA,https://en.wiktionary.org/wiki/%E0%A8%9C%E0%A9%80%E0%A8%AD
13,*saptá,هفت,ਸੱਤ,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-Iranian/sapt%C3%A1,https://en.wiktionary.org/wiki/%D9%87%D9%81%D8%AA,https://en.wiktionary.org/wiki/%E0%A8%B8%E0%A9%B1%E0%A8%A4
14,Proto-Indo-European,گل,ਜੀਭ,https://en.wiktionary.orghttps://en.wikipedia.org/wiki/Proto-Indo-European_language,https://en.wiktionary.org/wiki/%DA%AF%D9%84,https://en.wiktionary.org/wiki/%E0%A8%9C%E0%A9%80%E0%A8%AD
